ARTNUMMER;ARTFAK_OM;ART_PRI_V 
01-130V-1"-1.1/2"-1";EE T-sok verlopend;10,95 
01-130V-1.1/4"-3/8"-1.1/4;EE T-sok verlopend;8,60 
01-130V-1.1/4"-1/2"-1";EE T-sok verlopend;6,80 
01-130V-1.1/4"-1/2"-1.1/4;EE T-sok verlopend;5,85 
01-130V-1.1/4"-3/4"-3/4";EE T-sok verlopend;8,80 
01-130V-1.1/4"-3/4"-1";EE T-sok verlopend;7,95 
01-130V-1.1/4"-3/4"-1.1/4;EE T-sok verlopend;6,20 
01-130V-1.1/4"-1"-1";EE T-sok verlopend;7,75 
01-130V-1.1/4"-1"-1.1/4";EE T-sok verlopend;6,90 
01-130V-1.1/4"-1.1/4"-3/4;EE T-sok verlopend;10,45 
01-130V-1.1/4"-1.1/4"-1";EE T-sok verlopend;8,80 
01-130V-1.1/4-1.1/2-1.1/4;EE T-sok verlopend;13,75 
01-130V-1.1/4"-2"-1.1/4;EE T-sok verlopend;16,50 
01-130V-1.1/2"-1/2"-3/4";EE T-sok verlopend;8,65 
01-130V-1.1/2"-1/2"-1.1/2;EE T-sok verlopend;7,85 
01-130V-1.1/2"-3/4"-1.1/2;EE T-sok verlopend;8,50 
01-130V-1.1/2"-1"-3/4";EE T-sok verlopend;9,85 
01-130V-1.1/2"-1"-1";EE T-sok verlopend;10,60 
01-130V-1.1/2"-1"-1.1/4";EE T-sok verlopend;10,40 
01-130V-1.1/2"-1"-1.1/2";EE T-sok verlopend;9,20 
01-130V-1.1/2-1.1/4-1.1/4;EE T-sok verlopend;12,90 
01-130V-1.1/2-1.1/4-1.1/2;EE T-sok verlopend;12,50 
01-130V-1.1/2-1.1/2-1.1/4;EE T-sok verlopend;15,15 
01-130V-1.1/2"-2"-1.1/2";EE T-sok verlopend;17,20 
01-130V-2"-1/2"-2";EE T-sok verlopend;11,60 
01-130V-2"-3/4"-2";EE T-sok verlopend;15,10 
01-130V-2"-1"-2";EE T-sok verlopend;11,70 
01-130V-2"-1.1/4"-2";EE T-sok verlopend;15,10 
01-130V-2"-1.1/2"-1.1/2";EE T-sok verlopend;18,20 
01-130V-2"-1.1/2"-2";EE T-sok verlopend;17,40 
01-130V-2"-2.1/2"-2";EE T-sok verlopend;35,10 
01-130V-2"-3"-2";EE T-sok verlopend;44,70 
01-130V-2.1/2"-3/4"-2.1/2;EE T-sok verlopend;25,00 
01-130V-2.1/2"-1"-2.1/2";EE T-sok verlopend;23,95 
01-130V-2.1/2-1.1/4-2.1/2;EE T-sok verlopend;32,85 
01-130V-2.1/2-1.1/2-2.1/2;EE T-sok verlopend;28,60 
01-130V-2.1/2"-2"-2.1/2";EE T-sok verlopend;32,20 
01-130V-3"-1"-3";EE T-sok verlopend;39,25 
01-130V-3"-1.1/4"-3";EE T-sok verlopend;45,10 
01-130V-3"-1.1/2"-3";EE T-sok verlopend;45,25 
01-130V-3"-2"-3";EE T-sok verlopend;42,00 
01-130V-3"-2.1/2"-3";EE T-sok verlopend;49,70 
01-130V-4"-1.1/4"-4";EE T-sok verlopend;64,90 
01-130V-4"-1.1/2"-4";EE T-sok verlopend;64,60 
01-130V-4"-2"-4";EE T-sok verlopend;74,05 
01-130V-4"-2.1/2"-4";EE T-sok verlopend;94,55 
01-130V-4"-3"-4";EE T-sok verlopend;78,70 
01-131V-1/2";EE T-spruit;5,90 
01-131V-3/4";EE T-spruit;7,40 
01-131V-1";EE T-spruit;11,20 
01-131V-1.1/4";EE T-spruit;15,20 
01-131V-1.1/2";EE T-spruit;22,20 
01-131V-2";EE T-spruit;32,00 
01-135V-1";EE T-sok bu/bu/bu;12,50 
01-165V-1/2";EE T-stuk 45 graden;8,85 
01-165V-3/4";EE T-stuk 45 graden;10,15 
01-165V-1";EE T-stuk 45 graden;15,20 
01-165V-1.1/4";EE T-stuk 45 graden;18,85 
01-165V-1.1/2";EE T-stuk 45 graden;25,30 
01-165V-2";EE T-stuk 45 graden;37,70 
01-180V-3/8";EE kruissok;5,30 
01-180V-1/2";EE kruissok;5,20 
01-180V-3/4";EE kruissok;7,80 
01-180V-1";EE kruissok;9,60 
01-180V-1.1/4";EE kruissok;12,90 
01-180V-1.1/2";EE kruissok;17,20 
01-180V-2";EE kruissok;25,70 
01-180V-2.1/2";EE kruissok;58,15 
01-180V-3";EE kruissok;67,00 
01-180V-4";EE kruissok;111,05 
01-220V-1/2";EE Y-stuk;6,05 
01-220V-3/4";EE Y-stuk;9,55 
01-220V-1";EE Y-stuk;15,75 
01-221V-3/8";EE knie met zijspruit;6,45 
01-221V-1/2";EE knie met zijspruit;4,85 
01-221V-3/4";EE knie met zijspruit;7,80 
01-221V-1";EE knie met zijspruit;10,30 
01-221V-1.1/4";EE knie met zijspruit;18,20 
01-221V-1.1/2";EE knie met zijspruit;25,85 
01-221V-2";EE knie met zijspruit;39,55 
01-240V-1/4"X1/8";verloop sok;2,50 
01-240V-3/8"X1/8";verloop sok;2,50 
01-240V-3/8"X1/4";EE verloop sok;2,15 
01-240V-1/2"X1/4";EE verloop sok;2,25 
01-240V-1/2"X3/8";EE verloop sok;1,85 
01-240V-3/4"X1/4";verloop sok;3,10 
01-240V-3/4"X3/8";EE verloop sok;2,60 
01-240V-3/4"X1/2";EE verloop sok;2,20 
01-240V-1"X1/4";EE verloop sok;4,95 
01-240V-1"X3/8";EE verloop sok;3,60 
01-240V-1"X1/2";EE verloop sok;2,75 
01-240V-1"X3/4";EE verloop sok;2,50 
01-240V-1.1/4"X3/8";EE verloop sok;6,45 
01-240V-1.1/4"X1/2";EE verloop sok;5,30 
01-240V-1.1/4"X3/4";EE verloop sok;4,65 
01-240V-1.1/4"X1";EE verloop sok;4,50 
01-240V-1.1/2"X1/2";EE verloop sok;8,15 
01-240V-1.1/2"X3/4";EE verloop sok;7,20 
01-240V-1.1/2"X1";EE verloop sok;5,50 
01-240V-1.1/2"X1.1/4";EE verloop sok;6,05 
01-240V-2"X1/2";EE verloop sok;11,30 
01-240V-2"X3/4";EE verloop sok;11,70 
01-240V-2"X1";EE verloop sok;10,80 
01-240V-2"X1.1/4";EE verloop sok;9,55 
01-240V-2"X1.1/2";EE verloop sok;9,00 
01-240V-2.1/2"X1";EE verloop sok;21,45 
01-240V-2.1/2"X1.1/4";EE verloop sok;23,75 
01-240V-2.1/2"X1.1/2";EE verloop sok;28,75 
01-240V-2.1/2"X2";EE verloop sok;24,40 
01-240V-3"X1";EE verloop sok;35,65 
01-240V-3"X1.1/4";EE verloop sok;33,35 
01-240V-3"X1.1/2";EE verloop sok;26,35 
01-240V-3"X2";EE verloop sok;38,45 
01-240V-3"X2.1/2";EE verloop sok;43,75 
01-240V-4"X1.1/2";EE verloop sok;75,75 
01-240V-4"X2";EE verloop sok;66,50 
01-240V-4"X2.1/2";EE verloop sok;69,55 
01-240V-4"X3";EE verloop sok;71,35 
01-241V-1/4"X1/8";verloopring;1,90 
01-241V-3/8"X1/8";verloopring;1,95 
01-241V-3/8"X1/4";EE verloopring;1,40 
01-241V-1/2"X1/8";verloopring;2,00 
01-241V-1/2"X1/4";EE verloopring;1,10 
01-241V-1/2"X3/8";EE verloopring;1,10 
01-241V-3/4"X1/4";EE verloopring;2,00 
01-241V-3/4"X3/8";EE verloopring;1,55 
01-241V-3/4"X1/2";EE verloopring;1,15 
01-241V-1"X1/4";verloopring;3,05 
01-241V-1"X3/8";EE verloopring;2,55 
01-241V-1"X1/2";EE verloopring;1,65 
01-241V-1"X3/4";EE verloopring;1,50 
01-241V-1.1/4"X3/8";EE verloopring;4,65 
01-241V-1.1/4"X1/2";EE verloopring;2,80 
01-241V-1.1/4"X3/4";EE verloopring;2,50 
01-241V-1.1/4"X1";EE verloopring;1,85 
01-241V-1.1/2"X1/2";EE verloopring;3,70 
01-241V-1.1/2"X3/4";EE verloopring;4,10 
01-241V-1.1/2"X1";EE verloopring;2,75 
01-241V-1.1/2"X1.1/4";EE verloopring;2,80 
01-241V-2"X1/2";EE verloopring;7,50 
01-241V-2"X3/4";EE verloopring;7,45 
01-241V-2"X1";EE verloopring;6,10 
01-241V-2"X1.1/4";EE verloopring;5,80 
01-241V-2"X1.1/2";EE verloopring;5,20 
01-241V-2.1/2"X1";EE verloopring;11,95 
01-241V-2.1/2"X1.1/4";EE verloopring;13,80 
01-241V-2.1/2"X1.1/2";EE verloopring;13,05 
01-241V-2.1/2"X2";EE verloopring;10,00 
01-241V-3"X1";EE verloopring;18,70 
01-241V-3"X1.1/4";EE verloopring;18,75 
01-241V-3"X1.1/2";EE verloopring;17,35 
01-241V-3"X2";EE verloopring;12,90 
01-241V-3"X2.1/2";EE verloopring;14,60 
01-241V-4"X1";EE verloopring;34,90 
01-241V-4"X1.1/4";EE verloopring;35,45 
01-241V-4"X1.1/2";EE verloopring;35,45 
01-241V-4"X2";EE verloopring;37,50 
01-241V-4"X2.1/2";EE verloopring;27,90 
01-241V-4"X3";EE verloopring;26,80 
01-245V-1/4"X1/8";verloopnippel;2,45 
01-245V-3/8"X1/8";verloopnippel;2,90 
01-245V-3/8"X1/4";EE verloopnippel;2,25 
01-245V-1/2"X1/4";EE verloopnippel;2,80 
01-245V-1/2"X3/8";EE verloopnippel;2,60 
01-245V-3/4"X3/8";EE verloopnippel;4,65 
01-245V-3/4"X1/2";EE verloopnippel;2,25 
01-245V-1"X3/8";EE verloopnippel;5,05 
01-245V-1"X1/2";EE verloopnippel;4,60 
01-245V-1"X3/4";EE verloopnippel;2,60 
01-245V-1.1/4"X1/2";EE verloopnippel;7,00 
01-245V-1.1/4"X3/4";EE verloopnippel;5,95 
01-245V-1.1/4"X1";EE verloopnippel;4,10 
01-245V-1.1/2"X1/2";EE verloopnippel;7,30 
01-245V-1.1/2"X3/4";EE verloopnippel;6,05 
01-245V-1.1/2"X1";EE verloopnippel;9,60 
01-245V-1.1/2"X1.1/4";EE verloopnippel;5,20 
01-245V-2"X1/2";EE verloopnippel;11,25 
01-245V-2"X3/4";EE verloopnippel;11,15 
01-245V-2"X1";EE verloopnippel;8,65 
01-245V-2"X1.1/4";EE verloopnippel;10,80 
01-245V-2"X1.1/2";EE verloopnippel;9,85 
01-245V-2.1/2"X1";EE verloopnippel;14,85 
01-245V-2.1/2"X1.1/4";EE verloopnippel;16,95 
01-245V-2.1/2"X1.1/2";EE verloopnippel;14,20 
01-245V-2.1/2"X2";EE verloopnippel;23,60 
01-245V-3"X2";EE verloopnippel;29,10 
01-245V-3"X2.1/2";EE verloopnippel;38,20 
01-246V-1/4"X1/8";sok nippel;2,45 
01-246V-3/8"X1/4";EE sok nippel;1,95 
01-246V-1/2"X1/4";EE sok nippel;2,60 
01-246V-1/2"X3/8";EE sok nippel;2,05 
01-246V-3/4"X3/8";EE sok nippel;3,50 
01-246V-3/4"X1/2";EE sok nippel;2,25 
01-246V-1"X1/2";EE sok nippel;3,45 
01-246V-1"X3/4";EE sok nippel;3,65 
01-246V-1.1/4"X3/4";EE sok nippel;6,50 
01-246V-1.1/4"X1";EE sok nippel;4,05 
01-246V-1.1/2"X1";EE sok nippel;7,80 
01-246V-1.1/2"X1.1/4";EE sok nippel;6,80 
01-246V-2"X1.1/4";EE sok nippel;11,00 
01-246V-2"X1.1/2";EE sok nippel;11,60 
01-270V-1/8";sok;1,85 
01-270V-1/4";EE sok;1,75 
01-270V-3/8";EE sok;1,50 
01-270V-1/2";EE sok;1,20 
01-270V-3/4";EE sok;1,70 
01-270V-1";EE sok;2,20 
01-270V-1.1/4";EE sok;3,50 
01-270V-1.1/2";EE sok;5,00 
01-270V-2";EE sok;7,45 
01-270V-2.1/2";EE sok;20,65 
01-270V-3";EE sok;24,80 
01-270V-4";EE sok;57,90 
01-271V-3/8";EE sok l-r;2,15 
01-271V-1/2";EE sok l-r;1,95 
01-271V-3/4";EE sok l-r;2,60 
01-271V-1";EE sok l-r;3,35 
01-271V-1.1/4";EE sok l-r;6,40 
01-271V-1.1/2";EE sok l-r;7,00 
01-271V-2";EE sok l-r;12,50 
01-271V-2.1/2";EE sok l-r;22,10 
01-271V-3";EE sok l-r;26,45 
01-280V-1/8";nippel;2,20 
01-280V-1/4";EE nippel;1,80 
01-280V-3/8";EE nippel;2,05 
01-280V-1/2";EE nippel;1,10 
01-280V-3/4";EE nippel;1,45 
01-280V-1";EE nippel;2,10 
01-280V-1.1/4";EE nippel;3,50 
01-280V-1.1/2";EE nippel;4,05 
01-280V-2";EE nippel;7,25 
01-280V-2.1/2";EE nippel;13,05 
01-280V-3";EE nippel;15,75 
01-280V-4";EE nippel;57,90 
01-281V-1/4";EE nippel l-r;6,20 
01-281V-3/8";EE nippel l-r;4,25 
01-281V-1/2";EE nippel l-r;2,05 
01-281V-3/4";EE nippel l-r;2,55 
01-281V-1";EE nippel l-r;4,30 
01-281V-1.1/4";EE nippel l-r;6,10 
01-281V-1.1/2";EE nippel l-r;7,25 
01-281V-2";EE nippel l-r;13,45 
01-290V-1/8";plug;1,35 
01-290V-1/4";EE plug;1,05 
01-290V-3/8";EE plug;0,85 
01-290V-1/2";EE plug;0,85 
01-290V-3/4";EE plug;1,15 
01-290V-1";EE plug;1,25 
01-290V-1.1/4";EE plug;2,40 
01-290V-1.1/2";EE plug;2,95 
01-290V-2";EE plug;5,30 
01-290V-2.1/2";EE plug;11,60 
01-290V-3";EE plug;14,90 
01-290V-4";EE plug;26,30 
01-291V-1/4";EE plug zonder rand;1,15 
01-291V-3/8";EE plug zonder rand;1,10 
01-291V-1/2";EE plug zonder rand;1,05 
01-291V-3/4";EE plug zonder rand;1,50 
01-291V-1";EE plug zonder rand;1,75 
01-291V-1.1/4";EE plug zonder rand;2,55 
01-291V-1.1/2";EE plug zonder rand;4,20 
01-291V-2";EE plug zonder rand;5,80 
01-291V-2.1/2";EE plug zonder rand;11,10 
01-291V-3";EE plug zonder rand;13,55 
01-291V-4";EE plug zonder rand;47,25 
01-300V-1/8";kap;2,45 
01-300V-1/4";EE kap;1,30 
01-300V-3/8";EE kap;1,25 
01-300V-1/2";EE kap;1,40 
01-300V-3/4";EE kap;1,70 
01-300V-1";EE kap;1,95 
01-300V-1.1/4";EE kap;2,95 
01-300V-1.1/2";EE kap;3,70 
01-300V-2";EE kap;7,00 
01-300V-2.1/2";EE kap;12,70 
01-300V-3";EE kap;13,85 
01-300V-4";EE kap;30,45 
01-301V-3/8";EE ronde kap;2,00 
01-301V-1/2";EE ronde kap;2,20 
01-301V-3/4";EE ronde kap;2,00 
01-301V-1";EE ronde kap;2,50 
01-301V-1.1/4";EE ronde kap;3,75 
01-301V-1.1/2";EE ronde kap;4,70 
01-301V-2";EE ronde kap;8,50 
01-310V-1/4";EE moer;1,25 
01-310V-3/8";EE moer;1,35 
01-310V-1/2";EE moer;1,10 
01-310V-3/4";EE moer;1,10 
01-310V-1";EE moer;1,60 
01-310V-1.1/4";EE moer;2,35 
01-310V-1.1/2";EE moer;2,65 
01-310V-2";EE moer;5,30 
01-310V-2.1/2";EE moer;11,90 
01-310V-3";EE moer;14,00 
01-310V-4";EE moer;18,65 
01-321V-3/8";EE flens met binnendraad;9,05 
01-321V-1/2";EE flens met binnendraad;6,25 
01-321V-3/4";EE flens met binnendraad;7,75 
01-321V-1";EE flens met binnendraad;8,95 
01-321V-1.1/4";EE flens met binnendraad;11,90 
01-321V-1.1/2";EE flens met binnendraad;14,45 
01-321V-2";EE flens met binnendraad;17,45 
01-321V-2.1/2";EE flens met binnendraad;28,65 
01-321V-3";EE flens met binnendraad;34,55 
01-321V-4";EE flens met binnendraad;60,30 
01-326V-3/4";EE ovale flens met binnendraad;12,80 
01-326V-1";EE ovale flens met binnendraad;12,85 
01-326V-1.1/4";EE ovale flens met binnendraad;16,30 
01-326V-1.1/2";EE ovale flens met binnendraad;17,85 
01-330V-3/8";EE koppeling vlak bi-bi;6,60 
01-330V-1/2";EE koppeling vlak bi-bi;4,45 
01-330V-3/4";EE koppeling vlak bi-bi;5,20 
01-330V-1";EE koppeling vlak bi-bi;5,90 
01-330V-1.1/4";EE koppeling vlak bi-bi;10,15 
01-330V-1.1/2";EE koppeling vlak bi-bi;13,15 
01-330V-2";EE koppeling vlak bi-bi;21,75 
01-330V-2.1/2";EE koppeling vlak bi-bi;49,85 
01-331V-3/8";EE koppeling vlak bi-bu;7,20 
01-331V-1/2";EE koppeling vlak bi-bu;5,25 
01-331V-3/4";EE koppeling vlak bi-bu;5,85 
01-331V-1";EE koppeling vlak bi-bu;7,00 
01-331V-1.1/4";EE koppeling vlak bi-bu;12,75 
01-331V-1.1/2";EE koppeling vlak bi-bu;15,40 
01-331V-2";EE koppeling vlak bi-bu;24,10 
01-331V-2.1/2";EE koppeling vlak bi-bu;56,05 
01-340V-3/8";EE koppeling bi-bi;7,20 
01-340V-1/2";EE koppeling bi-bi;7,00 
01-340V-3/4";EE koppeling bi-bi;6,25 
01-340V-1";EE koppeling bi-bi;7,25 
01-340V-1.1/4";EE koppeling bi-bi;12,45 
01-340V-1.1/2";EE koppeling bi-bi;14,60 
01-340V-2";EE koppeling bi-bi;24,00 
01-340V-2.1/2";EE koppeling bi-bi;52,80 
01-340V-3";EE koppeling bi-bi;73,65 
01-340V-4";EE koppeling bi-bi;148,75 
01-341V-3/8";EE koppeling bi-bu;6,50 
01-341V-1/2";EE koppeling bi-bu;5,40 
01-341V-3/4";EE koppeling bi-bu;6,50 
01-341V-1";EE koppeling bi-bu;8,10 
01-341V-1.1/4";EE koppeling bi-bu;12,85 
01-341V-1.1/2";EE koppeling bi-bu;16,50 
01-341V-2";EE koppeling bi-bu;26,30 
01-341V-2.1/2";EE koppeling bi-bu;57,65 
01-341V-3";EE koppeling bi-bu;90,10 
01-341V-4";EE koppeling bi-bu;165,25 
01-471V-3/8";muurplaat;12,00 
01-471V-1/2";EE muurplaat;6,90 
01-471V-3/4";EE muurplaat;13,25 
01-529V-3/8";EE verleng sok nippel;2,20 
01-529V-1/2";EE verleng sok nippel;2,25 
01-529V-3/4";EE verleng sok nippel;3,35 
01-529V-1";EE verleng sok nippel;5,20 
01-529V-1.1/4";EE verleng sok nippel;6,65 
